_id,code,name
605970a018f10c2e74b7bde4,,Contador Público
605970a018f10c2e74b7bdab,,Ingeniería Aeronáutica
605970a018f10c2e74b7bdac,AM,Ingeniería Ambiental
605970a018f10c2e74b7bdad,,Ingeniería Biomédica
605970a018f10c2e74b7bdae,,Ingeniería Biónica
605970a018f10c2e74b7bdaf,,Ingeniería Bioquímica
605970a018f10c2e74b7bdb0,,Ingeniería Biotecnológica
605970a018f10c2e74b7bdb1,,Ingeniería Civil
605970a018f10c2e74b7bdb2,,Ingeniería Eléctrica
605970a018f10c2e74b7bdb3,LM,Ingeniería en Alimentos
605970a018f10c2e74b7bdb4,,Ingeniería en Computación
605970a018f10c2e74b7bdb5,,Ingeniería en Comunicaciones y Electrónica
605970a018f10c2e74b7bdb6,,Ingeniería en Control y Automatización
605970a018f10c2e74b7bdb7,,Ingeniería en Energía
605970a018f10c2e74b7bdb8,,Ingeniería en Informática
605970a018f10c2e74b7bdb9,,Ingeniería en Inteligencia Artificial
605970a018f10c2e74b7bdba,,Ingeniería en Metalurgia y Materiales
605970a018f10c2e74b7bdbb,,Ingeniería en Movilidad Urbana
605970a018f10c2e74b7bdbc,,Ingeniería en Negocios Energéticos Sustentables
605970a018f10c2e74b7bdbd,,Ingeniería en Robótica Industrial
605970a018f10c2e74b7bdbe,,Ingeniería en Sistemas Ambientales
605970a018f10c2e74b7bdc0,,Ingeniería en Sistemas Computacionales
605970a018f10c2e74b7bdc1,,Ingeniería en Sistemas Energéticos y Redes Inteligentes
605970a018f10c2e74b7bdc2,,Ingeniería en Transporte
605970a018f10c2e74b7bdc3,,Ingeniería Farmacéutica
605970a018f10c2e74b7bdc4,,Ingeniería Ferroviaria
605970a018f10c2e74b7bdc5,,Ingeniería Fotónica
605970a018f10c2e74b7bdc6,,Ingeniería Geofísica
605970a018f10c2e74b7bdc7,,Ingeniería Geológica
605970a018f10c2e74b7bdc8,,Ingeniería Industrial
605970a018f10c2e74b7bdc9,,Ingeniería Matemática
605970a018f10c2e74b7bdca,,Ingeniería Mecánica
605970a018f10c2e74b7bdcb,MM,Ingeniería Mecatrónica
605970a018f10c2e74b7bdcc,EM,Ingeniería Metalúrgica
605970a018f10c2e74b7bdcd,,Ingeniería Petrolera
605970a018f10c2e74b7bdce,,Ingeniería Química Industrial
605970a018f10c2e74b7bdcf,,Ingeniería Química Petrolera
605970a018f10c2e74b7bdd0,,Ingeniería Telemática
605970a018f10c2e74b7bdd1,,Ingeniería Textil
605970a018f10c2e74b7bdd2,,Ingeniería Topográfica y Fotogramétrica
605970a018f10c2e74b7bdd3,,Ingeniero Arquitecto
605970a018f10c2e74b7bdd8,,Licenciado en Nutrición
605970a018f10c2e74b7bdd9,,Licenciado en Optometría
605970a018f10c2e74b7bdda,,Licenciado en Psicología
605970a018f10c2e74b7bde5,,Licenciatura en Administración Industrial
605970a018f10c2e74b7bde6,,Licenciatura en Administración y Desarrollo Empresarial
605970a018f10c2e74b7bde7,,Licenciatura en Archivonomía
605970a018f10c2e74b7bdf1,,Licenciatura en Archivonomía
605970a018f10c2e74b7bde8,,Licenciatura en Biblioteconomía
605970a018f10c2e74b7bdf2,,Licenciatura en Biblioteconomía
605970a018f10c2e74b7bddb,,Licenciatura en Biología
605970a018f10c2e74b7bdd4,,Licenciatura en Ciencia de Datos
605970a018f10c2e74b7bdd5,,Licenciatura en Ciencias de la Informática
605970a018f10c2e74b7bdf3,,Licenciatura en Comercio Internacional
605970a018f10c2e74b7bde9,,Licenciatura en Economía
605970a018f10c2e74b7bddc,,Licenciatura en Enfermería
605970a018f10c2e74b7bddd,,Licenciatura en Enfermería y Obstetricia
605970a018f10c2e74b7bdd6,,Licenciatura en Física y Matemáticas
605970a018f10c2e74b7bdd7,,Licenciatura en Matemática Algorítmica
605970a018f10c2e74b7bdea,,Licenciatura en Negocios Digitales
605970a018f10c2e74b7bdeb,,Licenciatura en Negocios Internacionales
605970a018f10c2e74b7bdde,,Licenciatura en Odontología
605970a018f10c2e74b7bdec,,Licenciatura en Relaciones Comerciales
605970a018f10c2e74b7bddf,,Licenciatura en Trabajo Social
605970a018f10c2e74b7bded,,Licenciatura en Turismo
605970a018f10c2e74b7bdee,,Licenciatura en Turismo Sustentable
605970a018f10c2e74b7bde0,,Médico Cirujano Homeópata
605970a018f10c2e74b7bde1,,Médico Cirujano Partero
605970a018f10c2e74b7bde2,,Químico Bacteriólogo Parasitólogo
605970a018f10c2e74b7bde3,,Quimico Farmacéutico Industrial
